Context,Original,Translation,Comments
# encoding UTF-8
# shared
"*","ファイルを開くのに失敗しました、アクセス不可かファイルが存在しません","Failed to open the file. It's either inaccessible or the file does not exist","# FROM <anm_import.py & mate_import.py & tex_import.py>"
"*","マテリアル情報の貼付けを中止します。","The pasting of material information will be cancelled.","# FROM <mate_export.py & misc_MATERIAL_PT_context_material.py>"
"Operator","自動設定","Automatic setting","# FROM <misc_MATERIAL_PT_context_material.py & misc_TEXTURE_PT_context_texture.py>"
